0,0,0,0,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,31,83,0,0,0,9,0
0,0,0,0,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,0,44,70,0,0,8,3,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,49,65,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,53,61,0,0,8,3,0
0,0,0,0,3,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,56,58,0,0,1,10,0
0,0,0,0,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,43,71,0,0,0,9,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,54,60,0,0,1,10,0
0,0,0,0,4,1,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,65,49,0,0,8,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,39,75,0,0,1,10,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,62,52,0,0,3,8,0
0,0,0,0,0,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,61,53,0,0,11,0,0
0,0,0,0,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,62,52,0,0,1,10,0
0,0,0,0,3,2,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,58,56,0,0,3,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,3,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,56,58,0,0,2,9,0
0,0,0,0,0,2,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,39,75,0,0,7,4,0
0,0,0,0,2,4,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,44,70,0,0,9,2,0
0,0,0,0,1,3,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,47,67,0,0,5,6,0
0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,49,65,0,0,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,65,49,0,0,0,11,0
0,0,0,0,4,2,0,1,4,1,1,1,0,0,0,0,0,0,0,0,0,33,81,0,0,3,8,0
0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,49,65,0,0,6,5,0
0,0,0,0,2,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,66,48,0,0,2,9,0
0,0,0,0,2,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,49,65,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,4,1,0,1,4,0,0,0,0,0,0,0,0,0,50,64,0,0,0,10,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,76,38,0,0,9,2,0
0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,62,52,0,0,2,9,0
0,0,0,0,3,2,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,22,92,0,0,0,6,0
0,0,0,0,3,2,2,1,3,1,2,1,0,0,0,0,0,0,0,0,0,54,60,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,55,59,0,0,3,8,0
0,0,0,0,2,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,78,36,0,0,10,1,0
0,0,0,0,2,2,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,60,54,0,0,10,0,0
0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,54,60,0,0,6,5,0
0,0,0,0,2,4,0,2,2,2,1,2,0,0,0,0,0,0,0,0,0,55,59,0,0,7,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,56,58,0,0,0,11,0
0,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,52,62,0,0,5,6,0
0,0,0,0,2,1,1,3,2,0,1,3,0,0,0,0,0,0,0,0,0,44,70,0,0,0,7,0
0,0,0,0,2,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,0,53,61,0,0,7,4,0
0,0,0,0,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,58,56,0,0,1,10,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,58,56,0,0,3,8,0
0,0,0,0,0,2,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,55,59,0,0,0,11,0
0,0,0,0,1,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,63,51,0,0,9,2,0
0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,57,57,0,0,11,0,0
0,0,0,0,3,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,66,48,0,0,7,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,77,37,0,0,11,0,0
0,0,0,0,0,2,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,80,34,0,0,11,0,0
0,0,0,0,1,3,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,53,61,0,0,4,7,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,59,55,0,0,4,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3,2,1,1,1,3,1,0,0,0,0,0,0,0,0,0,50,64,0,0,2,9,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,58,56,0,0,11,0,0
0,0,0,0,0,3,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,61,53,0,0,10,1,0
0,0,0,0,0,2,1,2,0,1,2,2,0,0,0,0,0,0,0,0,0,37,77,0,0,3,8,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,61,53,0,0,3,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,1,1,1,3,0,2,1,0,0,0,0,0,0,0,0,0,59,55,0,0,2,9,0
0,0,0,0,1,2,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,53,61,0,0,10,1,0
0,0,0,0,3,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,46,68,0,0,6,5,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,48,66,0,0,0,11,0
0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,51,63,0,0,2,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,51,63,0,0,1,10,0
0,0,0,0,2,3,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,14,100,0,0,0,11,0
0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,61,53,0,0,8,3,0
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,44,70,0,0,6,5,0
0,0,0,0,1,3,2,2,1,2,2,2,0,0,0,0,0,0,0,0,0,43,71,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,55,59,0,0,10,1,0
0,0,0,0,0,1,1,4,0,0,1,4,0,0,0,0,0,0,0,0,0,59,55,0,0,1,10,0
0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,56,58,0,0,0,11,0
0,0,0,0,1,1,2,3,1,0,2,3,0,0,0,0,0,0,0,0,0,55,59,0,0,6,2,0
0,0,0,0,1,2,0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,60,54,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,1,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,42,72,0,0,10,1,0
0,0,0,0,1,2,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,29,85,0,0,7,4,0
0,0,0,0,0,2,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,64,50,0,0,5,6,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,35,79,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,44,70,0,0,8,3,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,66,48,0,0,9,2,0
0,0,0,0,3,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,56,58,0,0,11,0,0
0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,57,57,0,0,10,1,0
0,0,0,0,0,3,1,2,0,2,1,2,0,0,0,0,0,0,0,0,0,82,32,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,61,53,0,0,4,7,0
0,0,0,0,1,2,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,56,58,0,0,1,10,0
0,0,0,0,1,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,49,65,0,0,10,0,0
0,0,0,0,1,3,0,2,1,2,1,2,0,0,0,0,0,0,0,0,0,49,65,0,0,9,0,0
0,0,0,0,3,1,2,1,3,0,2,1,0,0,0,0,0,0,0,0,0,55,59,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,66,48,0,0,6,4,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,57,57,0,0,7,4,0
0,0,0,0,3,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,61,53,0,0,10,0,0
0,0,0,0,1,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,53,61,0,0,10,1,0
0,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,56,58,0,0,2,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,2,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,70,44,0,0,3,7,0
0,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,42,72,0,0,9,1,0
0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,63,51,0,0,3,8,0
0,0,0,0,2,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,58,56,0,0,6,5,0
0,0,0,0,1,1,3,2,1,0,2,3,0,0,0,0,0,0,0,0,0,37,77,0,0,10,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,47,67,0,0,0,11,0
0,0,0,0,3,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,54,60,0,0,7,4,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,58,0,0,11,0,0
0,0,0,0,1,1,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,50,64,0,0,1,10,0
0,0,0,0,1,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,52,62,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,53,61,0,0,10,1,0
0,0,0,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,62,52,0,0,5,6,0
0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,64,50,0,0,4,7,0
0,0,0,0,1,3,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,50,64,0,0,6,5,0
0,0,0,0,1,3,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,56,58,0,0,9,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,4,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,42,72,0,0,0,11,0
0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,61,53,0,0,5,6,0
0,0,0,0,1,2,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,69,45,0,0,3,8,0
0,0,0,0,2,3,0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,52,62,0,0,4,7,0
0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55,59,0,0,0,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,54,60,0,0,5,6,0
0,0,0,0,0,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,56,58,0,0,11,0,0
0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,56,58,0,0,0,11,0
0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,47,67,0,0,4,7,0
0,0,0,0,1,1,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,65,49,0,0,3,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,1,0,3,2,0,1,3,0,0,0,0,0,0,0,0,0,62,52,0,0,10,0,0
0,0,0,0,0,1,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,44,70,0,0,0,11,0
0,0,0,0,3,1,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,53,61,0,0,6,5,0
0,0,0,0,1,1,2,3,1,0,2,3,0,0,0,0,0,0,0,0,0,62,52,0,0,7,4,0
